SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
-8.2799944,0.60390669,0.15788185,0.44188845,0.48576772,0.65741720,0.15471029,0.15608371,0.61800263E-1,0.47435728E-1,0.31763450,0.93731401
-6.9273469,0.54446952,0.13038250,0.38730688,0.57025884,0.49555984,0.14221297,0.22162226,0.16641025,0.37684839E-1,0.34519504,0.88760508
-9.7738677,0.29974443,0.15960990,0.50162260,0.53595124,0.15086725,0.28970429,0.15641157,0.77016307E-1,0.80622989E-1,0.36928510,0.84740474
-5.7664885,0.22643008,0.12050183,0.35273866,0.65980822,0.45717789E-1,0.16126972E-1,0.47162514,0.38192488,0.35967816E-1,0.33522425,0.87400025
-10.886408,0.34985922,0.15820708,0.53248196,0.63509601,0.83684866E-1,0.32268176,0.11244584,0.25246849,0.33549503E-1,0.36095911,0.82329824
-7.6346834,0.12708976,0.10000686,0.76473153E-1,0.56872967,0.13088751,0.25084774E-1,0.18064916,0.41379124,0.20818654E-1,0.28343763,0.90014613
-9.3298775,0.60153612,0.16670532,0.39033610,0.70445144,0.27465009,0.15883275,0.66832021E-1,0.75291167E-1,0.38877157E-1,0.34074080,0.85689545
-8.0390502,0.33601243,0.14446857,0.46765274,0.54453383,0.41356889,0.21016132,0.16058397,0.14920645,0.53899450E-1,0.32244674,0.87265277
-5.7650838,0.35084485,0.11540925,0.17892992,0.55418074,0.15052301,0.34906457E-1,0.33051561,0.34473283,0.21171853E-1,0.32553375,0.87788650
-4.5866087,0.42469559,0.17150899,0.37680370,0.64965166,0.15226338,0.56578028E-1,0.25845373,0.15753213,0.13664920E-1,0.32881325,0.88468057
-9.1071205,0.40762090,0.15222738,0.29697585,0.51445006,0.13085364,0.17752394,0.20617219,0.38986648,0.69376053E-1,0.31940648,0.92163025
-8.5499714,0.26954463,0.16037473,0.58438551,0.51503068,0.49837691,0.24826051,0.27574107,0.15003516,0.19221817E-1,0.36449732,0.90676896
-10.190558,0.57079913,0.11905424,0.35842416,0.56481661,0.27888473,0.25943930,0.25674627E-1,0.17720489,0.43887635E-1,0.31129781,0.93213879
-7.1026006,0.27734295,0.12610770,0.53026408,0.56861094,0.19360982,0.13732168,0.33126113,0.32345309,0.14783857E-1,0.36294485,0.87305960
-8.8307795,0.25283437,0.18247308,0.45944877,0.53877524,0.27353314,0.62754967E-1,0.49245579,0.19502731,0.45041610E-1,0.33306753,0.86972231
-7.1075811,0.73377720,0.14901292,0.26184418,0.68180723,0.18208106,0.11138040,0.23956254,0.21269355,0.27837861E-1,0.37069660,0.84804650
-8.3403209,0.35586309,0.19044354,0.36824800,0.68853120,0.97774669E-1,0.84136161E-1,0.32890862,0.29226798,0.12398491,0.34168277,0.86889293
-6.9866909,0.43656609E-1,0.16165844,0.62215561,0.43541100,0.55220671,0.10064747,0.18542839,0.21586362E-1,0.37800007E-1,0.30841920,0.91264711
-7.7786348,0.29080084,0.15947630,0.66928539,0.54830406,0.19370436,0.21096111,0.21761086,0.90058193E-1,0.31889624E-2,0.35452610,0.90618406
-5.7142321,0.44402944,0.13608509,0.22829963,0.59547153,0.49398313E-1,0.18942128E-2,0.29083985,0.37938787,0.53814238E-1,0.31140683,0.92804601
-8.5177848,0.80947198,0.19780287,0.22683152,0.74876183,0.29203566E-1,0.34247661E-1,0.11250113,0.17239038,0.16884926E-1,0.29976347,0.88557148
-11.399983,0.59236123,0.14348395,0.24515519,0.43109370,0.69888623,0.15503077,0.28842805,0.26289528,0.61163436E-1,0.30516912,0.90420884
-8.6144911,0.69522562,0.19558184,0.36587900,0.63128112,0.28864548,0.26773704,0.85394244E-1,0.10067968,0.48092668E-1,0.35211217,0.90778492
-10.025307,0.46025787,0.99810867E-1,0.12530203E-1,0.55737675,0.52362007,0.13853773,0.19027753,0.28677615,0.37107747E-1,0.31492297,0.88595626
-8.4099843,0.26965520,0.19736925,0.43531600,0.56848362,0.34244482,0.22491621,0.25442029,0.62686636E-1,0.75167458E-1,0.33554324,0.88397747
-13.535446,0.19238558,0.14945224,0.69211621,0.64833080,0.97838776E-1,0.28905777,0.28167130,0.14177046,0.11501838,0.40001028,0.86464141
-8.2849823,0.42691719,0.11832989,0.28726471,0.67839899,0.75273733E-1,0.75817872E-1,0.36969139,0.31074717,0.92907989E-1,0.33768494,0.84527122
-7.2409239,0.24576220,0.14203313,0.57765419,0.63312395,0.99649983E-1,0.82620139E-2,0.37344620,0.18545381,0.41621281E-1,0.37380327,0.82416264
-8.6427327,0.31494511,0.19761434,0.45077505,0.70926499,0.20561744,0.16653269,0.29530342,0.16044319,0.36320746E-1,0.36934141,0.89757038
-11.158037,0.13548444,0.17976131,0.31476318,0.48819448,0.51548569,0.16028866E-2,0.30556795,0.10396444,0.24298111E-1,0.26360201,0.97770093
-11.588280,0.20351787,0.15914481,0.50217809,0.53067393,0.27189553,0.38081562,0.30452973,0.23608448,0.11184787,0.37796592,0.85903464
-5.7311577,0.62457033,0.15806256,0.33714562,0.67740723,0.13167585,0.12891762,0.26270706,0.18698637,0.18315229E-1,0.35483741,0.86897309
-5.9083839,0.11292239,0.17461269,0.47697802,0.55963283,0.25070940,0.18285730,0.18043614,0.16285462,0.29974678E-1,0.32418933,0.90733889
-10.039915,0.16784275,0.15033446,0.24182533,0.53203119,0.21294722,0.17263193,0.42638820,0.45883455,0.70812413E-1,0.35066120,0.87824698
-7.8448784,0.64739258,0.19322031,0.31171669,0.69194933,0.27474069,0.11700547,0.31833743,0.55152463E-1,0.45588821E-1,0.36163175,0.85221629
-6.4941878,0.50043234,0.13952626,0.32238228,0.55918578,0.36667354,0.64058566E-1,0.27064839,0.29318850,0.65830447E-1,0.33448681,0.88999265
-7.3386372,0.26681640,0.17185503,0.34507007,0.60931614,0.16254325,0.77236835E-1,0.47915318,0.29152055,0.72464394E-1,0.36310797,0.88048551
-7.8102812,0.55034955,0.10482951,0.21030089,0.59026184,0.26334002,0.23711193,0.55958857E-1,0.19528649,0.11827504E-1,0.36032384,0.86767555
