ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Oxide thick,Oxide Hydration,Lipid APM,Head Hydration,Bilayer Hydration,Bilayer Roughness,Water Thickness,Backs par D2O,Scalefactor 1,SLD D2O
1,0,0.23114089,0.0000000,15,1,-6.5232883,0.79686651E-1,0.17560164,0.53125903,0.52570654,0.45432793,0.17333061,0.27641257,0.64689636E-1,0.18448454E-1,0.34577167,0.86500183
1,0,0.23168512,0.0000000,15,1,-7.2564236,0.13326270,0.18002741,0.55837166,0.51687190,0.41387154,0.25388405,0.28983005,0.62690630E-1,0.21185366E-1,0.36226682,0.88130329
1,0,0.23335901,0.0000000,15,1,-7.1785357,0.10488896,0.16603029,0.56708995,0.50083472,0.41655742,0.23412013,0.30220215,0.51328010E-1,0.18566360E-1,0.36328925,0.87524810
1,0,0.23345826,0.0000000,15,2,-8.0234058,0.10407619,0.17231131,0.58215325,0.49746000,0.40463139,0.29128537,0.30340132,0.59718817E-1,0.30215942E-1,0.36603081,0.87988647
1,0,0.23467225,0.0000000,15,1,-8.2536703,0.10643306,0.14784791,0.56346486,0.48435447,0.42163800,0.18494809,0.30810902,0.26734222E-1,0.75396727E-2,0.36801546,0.87615144
1,0,0.23632523,0.0000000,15,1,-8.2163255,0.96239471E-1,0.14709221,0.59343725,0.48177988,0.40295066,0.23879380,0.30377100,0.36014367E-1,0.23776818E-1,0.36982516,0.87020100
1,0,0.23611040,0.0000000,15,1,-10.206686,0.52256691E-1,0.15727759,0.63585533,0.48404790,0.38686938,0.34865412,0.30212022,0.68147865E-1,0.61474029E-1,0.36673313,0.85691618
1,0,0.23775318,0.0000000,15,1,-8.8201265,0.24794507E-1,0.14194679,0.60594403,0.47861321,0.41678870,0.25030179,0.29926429,0.51124464E-1,0.49542342E-1,0.35825457,0.84756407
1,0,0.23858547,0.0000000,15,2,-9.0063818,0.39190256E-1,0.12771906,0.58493921,0.46476663,0.42526902,0.18410096,0.29680328,0.32129821E-1,0.29038633E-1,0.35821523,0.85543156
1,0,0.24048245,0.0000000,15,2,-7.6978503,0.46082403E-2,0.13398896,0.56163102,0.49072809,0.46729297,0.12059335,0.27743334,0.43948338E-1,0.23929438E-1,0.34210141,0.84060365
1,0,0.24188797,0.0000000,15,2,-7.6288219,0.42098929E-1,0.13479311,0.54690125,0.50545008,0.47226943,0.84548379E-1,0.27247818,0.25609680E-1,0.12317404E-1,0.34581310,0.84224651
1,0,0.24244106,0.0000000,15,1,-8.3161017,0.13012162E-2,0.12674913,0.54735677,0.50142967,0.48792872,0.49378466E-1,0.26428771,0.30596733E-1,0.12979195E-1,0.33858240,0.83257117
1,0,0.24404266,0.0000000,15,1,-7.8143977,0.50685616E-1,0.14386875,0.59851937,0.49517821,0.42131916,0.22779163,0.27528841,0.51598271E-1,0.43128953E-1,0.35685210,0.84976218
1,0,0.24548798,0.0000000,15,1,-7.8879082,0.38483558E-1,0.13337755,0.58332164,0.49964427,0.43783797,0.15196380,0.27658325,0.36295318E-1,0.30542949E-1,0.35314839,0.83930969
1,0,0.24578423,0.0000000,15,1,-8.8393003,0.54892621E-1,0.12323982,0.56976367,0.50167910,0.45637809,0.82552366E-1,0.27400741,0.13198612E-1,0.10733271E-1,0.35455479,0.83868278
1,0,0.24572752,0.0000000,15,1,-10.358930,0.41005129E-1,0.11324079,0.57067219,0.49615612,0.46686851,0.36471147E-1,0.27665692,0.51252662E-2,0.43215589E-2,0.35295100,0.83015155
1,0,0.24707807,0.0000000,15,2,-8.6088422,0.31539744E-1,0.12556207,0.55593639,0.50749986,0.47967210,0.41764038E-1,0.27113725,0.18110806E-1,0.39437827E-2,0.34728393,0.83459326
1,0,0.24864993,0.0000000,15,1,-8.5448298,0.17486698E-1,0.12467479,0.58616880,0.49014419,0.45277868,0.11933680,0.28003642,0.31232144E-1,0.25456912E-1,0.35195597,0.83443862
1,0,0.25058785,0.0000000,15,2,-8.6359576,0.19780172E-1,0.12248726,0.57414853,0.48803398,0.46192470,0.89469186E-1,0.28267630,0.30110247E-1,0.16217060E-1,0.35113803,0.83740043
1,0,0.25101963,0.0000000,15,1,-9.4153050,0.83447113E-2,0.11966393,0.54023816,0.49999346,0.49653887,0.49829984E-2,0.28248512,0.23811037E-1,0.35734765E-2,0.34291887,0.82917548
1,0,0.25257031,0.0000000,15,1,-9.1279021,0.45268997E-1,0.12139753,0.58767910,0.47778318,0.44257570,0.13190612,0.30083585,0.34316014E-1,0.24189817E-1,0.35964383,0.84014432
1,0,0.25410827,0.59015570,15,2,-7.5530420,0.46054075E-1,0.14120739,0.58689337,0.48848808,0.43103598,0.19264281,0.29762261,0.54673306E-1,0.28466730E-1,0.35581781,0.84943831
1,0,0.25564303,0.0000000,15,1,-7.3106954,0.56842956E-1,0.14674411,0.58323895,0.49028162,0.42414069,0.21683743,0.29545326,0.51960338E-1,0.18228441E-1,0.35970491,0.86620999
1,0,0.25733149,0.0000000,15,4,-7.5496993,0.81240762E-1,0.14362384,0.56003410,0.48517604,0.42808704,0.17427131,0.29828039,0.36430995E-1,0.11403368E-1,0.35897914,0.86740922
1,0,0.25807939,0.0000000,15,1,-8.0204244,0.78868169E-1,0.13769147,0.52632312,0.49277587,0.45465484,0.69224403E-1,0.29579556,0.19021972E-1,0.16942246E-2,0.34980772,0.85125325
1,0,0.25919077,0.0000000,15,2,-7.0534524,0.10209240,0.15241502,0.55725842,0.49663118,0.42597600,0.18174792,0.29105485,0.34691454E-1,0.70024134E-2,0.35891181,0.87094862
1,0,0.26008332,0.0000000,15,1,-7.4099662,0.13691648,0.17425073,0.56956751,0.51259972,0.39675731,0.26028204,0.28791144,0.46342876E-1,0.32182317E-1,0.35975889,0.86594429
1,0,0.26133595,0.0000000,15,1,-7.5376484,0.16865015,0.17369086,0.55382740,0.50462273,0.38248730,0.24310718,0.29447089,0.29556348E-1,0.24586006E-1,0.36374573,0.87346928
1,0,0.26286642,0.0000000,15,2,-6.8137463,0.12718188,0.16658375,0.54919939,0.51498910,0.41385207,0.18740824,0.28859732,0.20945244E-1,0.46330926E-2,0.35796503,0.86864503
1,0,0.26434661,0.0000000,15,1,-6.5261370,0.75847739E-1,0.16029819,0.54690722,0.52765284,0.45354329,0.12747702,0.27153503,0.29934293E-1,0.48765696E-2,0.34569109,0.84849438
